YYYY MM DD hh mm WS_mean_10_mean Rad_mean 
    Height 10 0 
    Units m/s W/m2 
2011 02 11 22 04 2.7280E+00 -4.8580E+00 
2011 02 11 22 14 2.8855E+00 -4.8580E+00 
2011 02 11 22 24 3.6730E+00 -4.8580E+00 
2011 02 11 22 34 3.8305E+00 -4.8580E+00 
2011 02 11 22 44 2.8855E+00 -4.8580E+00 
2011 02 11 22 54 2.1767E+00 -9.7800E+00 
2011 02 11 23 04 2.5705E+00 -9.7800E+00 
2011 02 11 23 14 2.8855E+00 -4.8580E+00 
2011 02 11 23 24 3.0430E+00 -4.8580E+00 
2011 02 11 23 34 3.1217E+00 -4.8580E+00 
2011 02 11 23 44 3.1217E+00 -4.8580E+00 
2011 02 11 23 54 3.0430E+00 -9.7800E+00 
2011 02 12 00 04 3.6730E+00 -4.8580E+00 
2011 02 12 00 15 3.9092E+00 -4.8580E+00 
2011 02 12 00 25 3.9092E+00 -4.8580E+00 
2011 02 12 00 35 3.0430E+00 -4.8580E+00 
2011 02 12 00 45 3.2005E+00 -4.8580E+00 
2011 02 12 00 55 3.2005E+00 -4.8580E+00 
2011 02 12 01 05 3.5155E+00 -4.8580E+00 
2011 02 12 01 15 3.3580E+00 -4.8580E+00 
2011 02 12 01 25 2.2555E+00 -4.8580E+00 
2011 02 12 01 35 1.3892E+00 -4.8580E+00 
2011 02 12 01 45 1.5467E+00 -4.8580E+00 
2011 02 12 01 55 2.3342E+00 -4.8580E+00 
2011 02 12 02 05 2.4917E+00 -4.8580E+00 
2011 02 12 02 15 2.2555E+00 -4.8580E+00 
2011 02 12 02 25 2.5705E+00 -4.8580E+00 
2011 02 12 02 35 2.6492E+00 -4.8580E+00 
2011 02 12 02 45 2.3342E+00 -4.8580E+00 
2011 02 12 02 55 2.3342E+00 -4.8580E+00 
2011 02 12 03 05 2.2555E+00 -4.8580E+00 
2011 02 12 03 15 1.9405E+00 -4.8580E+00 
2011 02 12 03 25 2.0192E+00 -4.8580E+00 
2011 02 12 03 35 2.5705E+00 -4.8580E+00 
2011 02 12 03 45 2.4917E+00 -4.8580E+00 
2011 02 12 03 55 2.9642E+00 -9.7800E+00 
2011 02 12 04 05 2.7280E+00 -4.8580E+00 
2011 02 12 04 15 3.1217E+00 -4.8580E+00 
2011 02 12 04 25 2.8067E+00 -4.8580E+00 
2011 02 12 04 35 3.2792E+00 -4.8580E+00 
2011 02 12 04 45 2.9642E+00 -4.8580E+00 
2011 02 12 04 55 3.5942E+00 -4.8580E+00 
2011 02 12 05 05 3.8305E+00 -4.8580E+00 
2011 02 12 05 15 3.4367E+00 -9.7800E+00 
2011 02 12 05 25 2.5705E+00 -4.8580E+00 
2011 02 12 05 35 2.3342E+00 -4.8580E+00 
2011 02 12 05 45 2.8067E+00 -4.8580E+00 
2011 02 12 05 55 3.2792E+00 -4.8580E+00 
2011 02 12 06 05 2.7280E+00 -4.8580E+00 
2011 02 12 06 15 2.9642E+00 -4.8580E+00 
2011 02 12 06 25 2.5705E+00 -4.8580E+00 
2011 02 12 06 35 1.9405E+00 -9.7800E+00 
2011 02 12 06 45 1.6255E+00 -4.8580E+00 
2011 02 12 06 55 1.7042E+00 -4.8580E+00 
2011 02 12 07 05 1.7830E+00 -4.8580E+00 
2011 02 12 07 15 2.0192E+00 -4.8580E+00 
2011 02 12 07 25 2.2555E+00 -4.8580E+00 
2011 02 12 07 35 2.0192E+00 -4.8580E+00 
2011 02 12 07 45 2.4917E+00 -4.8580E+00 
2011 02 12 07 55 2.3342E+00 -4.8580E+00 
2011 02 12 08 05 2.0980E+00 -4.8580E+00 
2011 02 12 08 15 2.0192E+00 -4.8580E+00 
2011 02 12 08 25 2.6492E+00 -4.8580E+00 
2011 02 12 08 35 2.3342E+00 -4.8580E+00 
2011 02 12 08 45 1.8617E+00 -4.8580E+00 
2011 02 12 08 55 1.3104E+00 6.4000E-02 
2011 02 12 09 05 1.3104E+00 6.4000E-02 
2011 02 12 09 15 1.4680E+00 6.4000E-02 
2011 02 12 09 25 1.4680E+00 6.4000E-02 
2011 02 12 09 35 1.0742E+00 6.4000E-02 
2011 02 12 09 45 1.3104E+00 6.4000E-02 
2011 02 12 09 55 1.5467E+00 4.9860E+00 
2011 02 12 10 05 2.0192E+00 4.9860E+00 
2011 02 12 10 15 1.7042E+00 4.9860E+00 
2011 02 12 10 25 1.7042E+00 4.9860E+00 
2011 02 12 10 35 1.4680E+00 4.9860E+00 
2011 02 12 10 45 2.2555E+00 9.9080E+00 
2011 02 12 10 55 3.2792E+00 1.4830E+01 
2011 02 12 11 05 1.7830E+00 3.9440E+01 
2011 02 12 11 15 2.3342E+00 3.4518E+01 
2011 02 12 11 25 1.2317E+00 3.4518E+01 
2011 02 12 11 35 9.1670E-01 2.9596E+01 
2011 02 12 11 45 1.3104E+00 3.4518E+01 
2011 02 12 11 55 1.5467E+00 2.9596E+01 
2011 02 12 12 05 1.5467E+00 3.4518E+01 
2011 02 12 12 15 2.2555E+00 2.4674E+01 
2011 02 12 12 25 2.1767E+00 2.4674E+01 
2011 02 12 12 35 1.8617E+00 2.4674E+01 
2011 02 12 12 45 1.7042E+00 2.4674E+01 
2011 02 12 12 55 1.8617E+00 2.9596E+01 
2011 02 12 13 05 1.2317E+00 1.9752E+01 
2011 02 12 13 15 1.3892E+00 2.4674E+01 
2011 02 12 13 25 1.2317E+00 2.4674E+01 
2011 02 12 13 35 1.3892E+00 2.9596E+01 
2011 02 12 13 45 1.6255E+00 2.9596E+01 
2011 02 12 13 55 1.3892E+00 2.4674E+01 
2011 02 12 14 05 1.0742E+00 1.9752E+01 
2011 02 12 14 15 1.1530E+00 1.9752E+01 
2011 02 12 14 25 1.0742E+00 1.9752E+01 
2011 02 12 14 35 9.9550E-01 1.9752E+01 
2011 02 12 14 45 1.0742E+00 1.4830E+01 
2011 02 12 14 55 1.3104E+00 1.4830E+01 
2011 02 12 15 05 9.9550E-01 1.4830E+01 
2011 02 12 15 15 9.9550E-01 1.9752E+01 
2011 02 12 15 25 1.6255E+00 9.9080E+00 
2011 02 12 15 35 1.4680E+00 1.4830E+01 
2011 02 12 15 45 2.1767E+00 4.9860E+00 
2011 02 12 15 55 1.7830E+00 4.9860E+00 
2011 02 12 16 05 3.3580E+00 4.9860E+00 
2011 02 12 16 15 2.8067E+00 6.4000E-02 
2011 02 12 16 25 2.8067E+00 6.4000E-02 
2011 02 12 16 35 3.2792E+00 -4.8580E+00 
2011 02 12 16 45 2.6492E+00 -4.8580E+00 
2011 02 12 16 55 1.6255E+00 -4.8580E+00 
2011 02 12 17 05 2.0192E+00 -4.8580E+00 
2011 02 12 17 15 2.3342E+00 -4.8580E+00 
2011 02 12 17 25 1.9405E+00 -4.8580E+00 
2011 02 12 17 35 2.7280E+00 -4.8580E+00 
2011 02 12 17 45 2.6492E+00 -4.8580E+00 
2011 02 12 17 55 2.3342E+00 -4.8580E+00 
2011 02 12 18 05 2.3342E+00 -4.8580E+00 
2011 02 12 18 15 2.0192E+00 -4.8580E+00 
2011 02 12 18 25 1.8617E+00 -4.8580E+00 
2011 02 12 18 35 2.7280E+00 -4.8580E+00 
2011 02 12 18 45 3.2005E+00 -4.8580E+00 
2011 02 12 18 55 2.3342E+00 -4.8580E+00 
2011 02 12 19 05 2.0192E+00 -9.7800E+00 
2011 02 12 19 15 2.1767E+00 -4.8580E+00 
2011 02 12 19 25 2.5705E+00 -4.8580E+00 
2011 02 12 19 35 2.8855E+00 -4.8580E+00 
2011 02 12 19 45 3.8305E+00 -4.8580E+00 
2011 02 12 19 55 3.6730E+00 -4.8580E+00 
2011 02 12 20 05 3.2792E+00 -4.8580E+00 
2011 02 12 20 15 3.5155E+00 -4.8580E+00 
2011 02 12 20 25 4.0667E+00 -4.8580E+00 
2011 02 12 20 35 4.6180E+00 -4.8580E+00 
2011 02 12 20 45 4.3817E+00 -4.8580E+00 
2011 02 12 20 55 4.3817E+00 -4.8580E+00 
2011 02 12 21 05 4.5392E+00 -4.8580E+00 
2011 02 12 21 15 5.6417E+00 -4.8580E+00 
2011 02 12 21 25 5.7204E+00 -4.8580E+00 
2011 02 12 21 35 5.1692E+00 -4.8580E+00 
2011 02 12 21 45 4.5392E+00 -4.8580E+00 
2011 02 12 21 55 4.3817E+00 -4.8580E+00 
2011 02 12 22 05 3.5942E+00 -4.8580E+00 
2011 02 12 22 15 4.9330E+00 -4.8580E+00 
2011 02 12 22 25 4.5392E+00 -4.8580E+00 
2011 02 12 22 35 4.4605E+00 -4.8580E+00 
2011 02 12 22 45 3.5942E+00 -4.8580E+00 
2011 02 12 22 55 4.0667E+00 -9.7800E+00 
2011 02 12 23 05 3.5942E+00 -4.8580E+00 
2011 02 12 23 15 3.2005E+00 -4.8580E+00 
2011 02 12 23 25 3.5155E+00 -4.8580E+00 
2011 02 12 23 35 3.5942E+00 -4.8580E+00 
2011 02 12 23 45 3.5155E+00 -4.8580E+00 
2011 02 12 23 55 3.5155E+00 -4.8580E+00 
2011 02 13 00 05 3.5155E+00 -9.7800E+00 
2011 02 13 00 15 3.2792E+00 -9.7800E+00 
2011 02 13 00 25 3.3580E+00 -4.8580E+00 
2011 02 13 00 35 3.1217E+00 -4.8580E+00 
2011 02 13 00 45 3.2792E+00 -4.8580E+00 
2011 02 13 00 55 3.4367E+00 -4.8580E+00 
2011 02 13 01 05 3.4367E+00 -4.8580E+00 
2011 02 13 01 15 2.4130E+00 -4.8580E+00 
2011 02 13 01 25 2.8855E+00 -4.8580E+00 
2011 02 13 01 35 2.9642E+00 -4.8580E+00 
2011 02 13 01 45 3.5155E+00 -4.8580E+00 
2011 02 13 01 55 3.1217E+00 -4.8580E+00 
2011 02 13 02 05 2.9642E+00 -4.8580E+00 
2011 02 13 02 15 2.8067E+00 -4.8580E+00 
2011 02 13 02 25 2.4917E+00 -4.8580E+00 
2011 02 13 02 35 2.9642E+00 -4.8580E+00 
2011 02 13 02 45 2.2555E+00 -4.8580E+00 
2011 02 13 02 55 2.5705E+00 -4.8580E+00 
2011 02 13 03 05 2.0980E+00 -4.8580E+00 
2011 02 13 03 15 2.0980E+00 -4.8580E+00 
2011 02 13 03 25 2.1767E+00 -4.8580E+00 
